39Y2M	4C3N		accepted	species	Enterococcus quebecensis	Sistek et al., 2012	Bacillati	Bacillota	Bacilli	Lactobacillales		Enterococcaceae				Enterococcus		Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus		bacteria
4XNH6	7HM8		accepted	species	Siphlonurus quebecensis	(Provancher, 1878)	Animalia	Arthropoda	Insecta	Ephemeroptera	Baetoidea	Siphlonuridae				Siphlonurus		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Ephemeroptera;Baetoidea;Siphlonuridae;Siphlonurus		otherinsects
GBSXM	4XNH6		accepted	unranked	BOLD:AAB4101		Animalia	Arthropoda	Insecta	Ephemeroptera	Baetoidea	Siphlonuridae				Siphlonurus		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Ephemeroptera;Baetoidea;Siphlonuridae;Siphlonurus;Siphlonurus quebecensis		otherinsects
4SBNR	78W9		accepted	species	Rhithrogena gaspeensis	McDunnough, 1933	Animalia	Arthropoda	Insecta	Ephemeroptera	Heptagenioidea	Heptageniidae				Rhithrogena		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Ephemeroptera;Heptagenioidea;Heptageniidae;Rhithrogena		otherinsects
49JDN	8HNDL		accepted	species	Oncopsis quebecensis	Hamilton, 1983	Animalia	Arthropoda	Insecta	Hemiptera	Membracoidea	Cicadellidae	Eurymelinae	Macropsini		Oncopsis		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hemiptera;Auchenorrhyncha;Cicadomorpha;Clypeata;Membracoidea;Cicadellidae;Eurymelinae;Macropsini;Oncopsis		hemiptera
8JT4G	8JMQL		accepted	species	Gyponana (Gyponana) quebecensis	(Provancher, 1872)	Animalia	Arthropoda	Insecta	Hemiptera	Membracoidea	Cicadellidae	Iassinae	Gyponini		Gyponana	Gyponana (Gyponana)	Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hemiptera;Auchenorrhyncha;Cicadomorpha;Clypeata;Membracoidea;Cicadellidae;Iassinae;Gyponini;Gyponana;Gyponana (Gyponana)		hemiptera
V5RW2	MJLPN		accepted	species	Cixius quebecensis	Beirne, 1951	Animalia	Arthropoda	Insecta	Hemiptera	Delphacoidea	Cixiidae	Cixiinae	Cixiini		Cixius		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hemiptera;Auchenorrhyncha;Fulgoromorpha;Delphacoidea;Cixiidae;Cixiinae;Cixiini;Cixius		hemiptera
6YMMZ	8P3WT		accepted	species	Sigara (Phaeosigara) quebecensis	(Walley, 1930)	Animalia	Arthropoda	Insecta	Hemiptera	Corixoidea	Corixidae	Corixinae	Corixini		Sigara	Phaeosigara	Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hemiptera;Heteroptera;Nepomorpha;Corixoidea;Corixidae;Corixinae;Corixini;Sigara;Phaeosigara		hemiptera
6JHKB	4KSR		accepted	species	Formicoxenus quebecensis	Francoeur, 1985	Animalia	Arthropoda	Insecta	Hymenoptera	Vespoidea	Formicidae	Myrmicinae	Crematogastrini		Formicoxenus		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hymenoptera;Apocrita;Aculeata;Vespoidea;Formicidae;Myrmicinae;Crematogastrini;Formicoxenus		hymenoptera
45CRW	5WP9		accepted	species	Myrmica quebecensis	Francoeur, 1981	Animalia	Arthropoda	Insecta	Hymenoptera	Vespoidea	Formicidae	Myrmicinae	Myrmicini		Myrmica		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hymenoptera;Apocrita;Aculeata;Vespoidea;Formicidae;Myrmicinae;Myrmicini;Myrmica		hymenoptera
DMLD	VJJ		accepted	species	Ancistrocerus quebecensis	Cameron, 1906	Animalia	Arthropoda	Insecta	Hymenoptera	Vespoidea	Vespidae	Eumeninae			Ancistrocerus		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hymenoptera;Apocrita;Aculeata;Vespoidea;Vespidae;Eumeninae;Ancistrocerus		hymenoptera
BMJQ	RPJ		accepted	species	Aleiodes quebecensis	(Provancher, 1880)	Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonoidea	Braconidae				Aleiodes		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hymenoptera;Apocrita;Terebrantes;Ichneumonoidea;Braconidae;Aleiodes		hymenoptera
KVR4	38GH		accepted	species	Bassus quebecensis	(Provancher, 1880)	Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonoidea	Braconidae				Bassus		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hymenoptera;Apocrita;Terebrantes;Ichneumonoidea;Braconidae;Bassus		hymenoptera
LVDG	62FYM		accepted	species	Biosteres quebecensis	(Provancher, 1881)	Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonoidea	Braconidae				Biosteres		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hymenoptera;Apocrita;Terebrantes;Ichneumonoidea;Braconidae;Biosteres		hymenoptera
N478	3CNT		accepted	species	Bracon quebecensis	Shenefelt, 1978	Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonoidea	Braconidae				Bracon		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hymenoptera;Apocrita;Terebrantes;Ichneumonoidea;Braconidae;Bracon		hymenoptera
4FLNF	6MDM		accepted	species	Phaenocarpa gaspeensis	Fischer, 1974	Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonoidea	Braconidae				Phaenocarpa		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hymenoptera;Apocrita;Terebrantes;Ichneumonoidea;Braconidae;Phaenocarpa		hymenoptera
5ZKH9	3S79		accepted	species	Coleocentrus quebecensis	Provancher, 1874	Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonoidea	Ichneumonidae				Coleocentrus		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hymenoptera;Apocrita;Terebrantes;Ichneumonoidea;Ichneumonidae;Coleocentrus		hymenoptera
XPS7	3TB3		accepted	species	Conocalama quebecensis	(Provancher, 1874)	Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonoidea	Ichneumonidae				Conocalama		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hymenoptera;Apocrita;Terebrantes;Ichneumonoidea;Ichneumonidae;Conocalama		hymenoptera
6BMZW	3WYW		accepted	species	Ctenochira quebecensis	(Provancher, 1874)	Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonoidea	Ichneumonidae				Ctenochira		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hymenoptera;Apocrita;Terebrantes;Ichneumonoidea;Ichneumonidae;Ctenochira		hymenoptera
6DPSB	48V7		accepted	species	Dusona quebecensis	(Walley, 1940)	Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonoidea	Ichneumonidae				Dusona		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hymenoptera;Apocrita;Terebrantes;Ichneumonoidea;Ichneumonidae;Dusona		hymenoptera
3GHDM	634J9		accepted	species	Glypta quebecensis	Dasch, 1988	Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonoidea	Ichneumonidae				Glypta		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hymenoptera;Apocrita;Terebrantes;Ichneumonoidea;Ichneumonidae;Glypta		hymenoptera
